CodeClient,DateCreation,SecteurCo,SecteurAct,NivSupp1,NivSupp2
1104,11/2/2011,40,N,G1080,G0052
1110,11/2/2011,40,N,G1113,G0010
1112,11/2/2011,70,EG,,
1114,11/2/2011,50,N,g1106,G1016
1116,11/2/2011,90,N,G1113,G0010
1120,11/2/2011,90,N,G1106,G1016
1121,11/2/2011,40,N,G1079,G0052
1122,11/2/2011,40,N,G1080,G0052
1124,11/2/2011,50,N,G1029,G0052
1127,11/2/2011,40,N,,
1128,11/2/2011,90,N,G1106,G1016
1129,11/2/2011,70,N,G1097,G0014
1131,11/2/2011,80,N,G0014,
1133,11/2/2011,50,N,g1109,G1016
1137,11/2/2011,50,N,,
1141,11/2/2011,70,N,G1037,G0061
1142,11/2/2011,70,N,G0016,G0038
1145,11/2/2011,40,GSB,G1123,G0030
1146,11/2/2011,50,N,G1089,G0038
1147,11/2/2011,40,N,G1074,G0052
1149,11/2/2011,40,N,G1079,G0052
1153,11/2/2011,80,FAB,,
1154,11/2/2011,40,N,G1075,G0052
1156,11/2/2011,40,N,G1075,G0052
1157,11/2/2011,40,N,G1018,G0001
1158,11/2/2011,50,FAB,G1120,G0026
1159,11/2/2011,50,N,G1089,G0038
1160,11/2/2011,80,FAB,,
1162,11/2/2011,40,N,G1079,G0052
1163,11/2/2011,40,N,G1075,G0052
1164,11/2/2011,40,N,G1075,G0052
1165,11/2/2011,50,N,G1089,G0038
1167,11/2/2011,50,N,G1025,G0001
1170,11/2/2011,40,N,G1037,G0061
1172,11/2/2011,50,N,,
1173,11/2/2011,40,FAB,,
1175,11/2/2011,70,N,G1093,G0014
1176,11/2/2011,70,N,,
1177,11/2/2011,40,N,G1060,G0014
1178,11/2/2011,50,N,G1082,G0052
1180,11/2/2011,50,N,G1089,G0038
1181,11/2/2011,80,N,G1113,G0010
1184,11/2/2011,80,FAB,,
1185,11/2/2011,40,N,G1126,G0046
1187,11/2/2011,50,FAB,G1127,G0047
1190,11/2/2011,50,N,g1109,G1016
1193,11/2/2011,40,N,G1094,G0014
1194,11/2/2011,40,N,G1075,G0052
1196,11/2/2011,40,GSB,G1123,G0030
